Date, Close/Last, Volume, Open, High, Low
2020-09-29,70.52,6294318,70.46,71.34,69.5851
2020-09-28,70.55,7337397,69.59,71.5,69.1
2020-09-25,69.47,9190629,65.887,69.73,65.67
2020-09-24,65.17,5565191,65.5,66.77,63.64
2020-09-23,67.16,6919352,67.865,68.62,65.77
2020-09-22,68.72,6303612,67.5,69.19,66.67
2020-09-21,69.26,8223034,68.6,69.48,65.46
2020-09-18,69.87,13206190,68.28,70.0,66.1
2020-09-17,67.89,13275200,68.5,70.9,64.6
2020-09-16,68.84,11398010,67.64,70.04,66.73
2020-09-15,66.88,9101184,65.0274,68.41,64.2293
2020-09-14,63.67,8930779,60.15,63.85,60.115
2020-09-11,59.34,4821869,58.49,59.51,57.45
2020-09-10,57.56,7985321,57.041000000000004,60.32,56.87
2020-09-09,56.9,9355441,56.03,57.19,54.51
2020-09-08,54.34,17706210,57.75,58.6,54.21
2020-09-04,62.6,11653290,64.99,65.0,59.01
2020-09-03,64.84,14307320,65.65,69.35,64.3
2020-09-02,64.72,9874614,62.84,64.89,61.3805
2020-09-01,63.32,8200671,63.54,64.5,62.5
2020-08-31,64.89,15271800,67.14,67.2,62.54
2020-08-28,67.49,6383705,68.04,68.95,67.15
2020-08-27,68.03,9262562,69.98,70.32,67.01
2020-08-26,70.5,28768080,67.62,71.64,66.03
2020-08-25,66.25,7798501,64.32,66.696,63.55
2020-08-24,64.88,13143240,67.15,67.85,62.88
2020-08-21,66.45,6935608,67.5,68.02,65.6
2020-08-20,67.81,6346700,67.79,68.0,66.63
2020-08-19,68.0,8558809,66.74,69.17,66.6
2020-08-18,67.03,11329150,68.28,69.7,65.23
2020-08-17,69.76,8749112,69.14,70.78,68.38
2020-08-14,69.15,12799580,68.06,70.36,67.86
2020-08-13,67.83,15055930,69.09,69.18,67.05
2020-08-12,69.52,50471490,75.67,75.75,68.3
2020-08-11,68.97,18118730,69.52,71.4,67.0
2020-08-10,72.01,8678274,74.27,75.0,71.41
2020-08-07,74.1,8771437,74.38,75.39,73.01
2020-08-06,73.76,11691500,75.79,76.25,73.12
2020-08-05,75.8,19859900,77.49,77.49,73.69
2020-08-04,78.46,10126500,78.192,78.62,75.5
2020-08-03,77.98,13382330,74.98,77.99,73.03
2020-07-31,74.1,14223410,78.2,78.44,73.6038
2020-07-30,77.63,13101990,78.0,79.25,76.8
2020-07-29,79.51,24453920,81.98,82.82,76.5502
2020-07-28,81.49,32946890,81.0,83.85,79.5
2020-07-27,79.91,44710710,80.63,80.98,76.16
2020-07-24,73.21,27797480,69.05,73.9,66.54
2020-07-23,75.33,29288090,82.05,82.68,72.2
2020-07-22,83.225,27274020,79.61,84.12,79.11
2020-07-21,80.86,26185580,80.91,82.43,79.07
2020-07-20,82.68,78391300,87.86,90.85,78.05
2020-07-17,94.85,103509200,83.35,95.21,82.61
2020-07-16,81.81,27277410,80.1598,84.2899,79.6
2020-07-15,80.22,90756070,87.52,88.37,78.01
2020-07-14,75.04,38708760,74.0,76.9486,70.6201
2020-07-13,71.78,56617290,63.89,77.7499,63.8
2020-07-10,62.61,7407545,64.65,64.93,62.32
2020-07-09,64.97,20646140,62.09,65.35,58.88
2020-07-08,61.58,7590861,60.79,62.46,59.45
2020-07-07,61.09,8904341,58.8,61.5,57.44
2020-07-06,59.15,9977316,58.55,60.73,57.1
2020-07-02,58.57,26544380,60.0,61.8,55.8097
2020-07-01,61.59,17916470,63.0,63.73,59.12
2020-06-30,64.21,11955170,62.18,65.15899999999999,61.8
2020-06-29,62.08,8074205,61.82,63.0,59.4
2020-06-26,61.28,13866280,60.71,62.29,59.14
2020-06-25,62.0,26905660,67.0,67.0,58.51
2020-06-24,64.84,14377120,63.23,66.1559,63.14
2020-06-23,62.94,12361340,64.1,65.08,62.74
2020-06-22,64.75,13586380,65.92,66.29,62.12
2020-06-19,66.35,16076730,64.99,66.45,64.01
2020-06-18,64.95,10914380,63.03,65.4,62.58
2020-06-17,63.31,13615980,63.6,65.88,62.58
2020-06-16,64.34,16537850,66.31,66.6,62.6
2020-06-15,66.57,19339290,65.9,66.98,63.424
2020-06-12,62.0,14742910,62.355,63.63,60.29
2020-06-11,60.2,32085170,62.95,66.6867,58.77
2020-06-10,60.07,11074360,58.8,60.72,58.6
2020-06-09,58.23,7600166,58.55,59.405,57.73
2020-06-08,59.1,11249310,58.3,59.38,56.72
2020-06-05,58.19,14677940,58.49,59.19,56.63
2020-06-04,60.59,13503950,61.61,61.93,58.52
2020-06-03,59.89,20811530,57.51,63.37,57.1
2020-06-02,59.87,21701140,58.7,59.95,55.3553
2020-06-01,62.18,21257480,62.76,63.9,60.51
2020-05-29,61.5,38224870,57.45,61.65,56.56
2020-05-28,55.54,32308590,53.5,59.11,53.35
2020-05-27,52.18,59514750,51.2,53.34,46.1301
2020-05-26,57.71,40332560,66.4,66.59,57.05
2020-05-22,69.0,28912680,69.93,70.6,67.14
2020-05-21,67.05,35317970,73.05,73.16,65.31
2020-05-20,73.47,53655280,70.01,74.48,67.41
2020-05-19,71.67,64932250,78.07,79.75,70.32
2020-05-18,80.0,81209370,86.14,87.0,75.66
2020-05-15,66.69,16341870,63.79,67.67,63.01
2020-05-14,64.56,12198250,64.79,65.39,61.44
2020-05-13,65.18,22125960,63.8,66.97,60.29
2020-05-12,62.35,25934460,65.99,68.49,62.02
2020-05-11,66.9,34852040,59.6,67.67,59.1401
2020-05-08,59.25,24135550,53.06,59.88,52.15
2020-05-07,53.19,30942700,55.78,55.99,51.06
2020-05-06,48.95,6692345,48.45,49.25,47.5201
2020-05-05,49.34,11160180,50.48,50.96,47.23
2020-05-04,50.5,10460550,48.05,50.5,48.0
2020-05-01,47.93,21701290,48.71,50.45,46.29
2020-04-30,45.99,7741871,46.78,48.37,45.82
2020-04-29,46.37,11761970,46.6,46.9497,45.01
2020-04-28,47.88,13067210,50.4,50.45,47.17
2020-04-27,48.05,13744400,51.53,51.7,47.3
2020-04-24,50.5,11712460,47.15,50.5,47.1416
2020-04-23,47.44,15152350,49.1,50.7,46.89
2020-04-22,51.2,11690440,50.61,51.82,49.06
2020-04-21,49.26,39641960,53.0,56.38,43.11
2020-04-20,51.69,34102470,45.0,54.95,44.51
2020-04-17,46.85,32285980,48.99,49.0,43.38
2020-04-16,40.6,20670720,38.074,41.55,36.62
2020-04-15,37.25,15682990,34.64,38.45,33.72
2020-04-14,34.66,8126897,34.0,34.99,33.15
2020-04-13,32.9,5603883,32.0,32.98,31.71
2020-04-09,31.86,4861753,32.55,32.92,31.32
2020-04-08,32.42,4119844,32.36,32.94,31.7501
2020-04-07,32.02,10104340,33.81,34.03,30.9801
2020-04-06,34.64,10841590,34.91,35.185,33.33
2020-04-03,34.84,16896220,32.81,35.66,32.72
2020-04-02,33.2,15934400,30.6,33.39,29.84
2020-04-01,29.67,7004587,30.05,30.94,29.44
2020-03-31,29.95,6027880,30.6,30.98,29.2
2020-03-30,30.48,10749920,30.59,31.69,28.27
2020-03-27,30.05,12408300,28.37,31.09,27.95
2020-03-26,27.94,5585886,27.56,28.79,27.56
2020-03-25,27.13,9651543,25.0,27.98,24.79
2020-03-24,25.82,12550490,27.09,27.25,24.36
2020-03-23,26.57,11080850,28.71,29.81,26.25
2020-03-20,28.2,16522450,29.25,30.23,26.2
2020-03-19,28.27,36952750,32.78,34.98,25.19
2020-03-18,31.58,28702290,27.13,32.54,26.55
2020-03-17,28.18,44484140,29.36,32.7,27.3148
2020-03-16,26.49,39850790,23.76,27.8,22.22
2020-03-13,21.3,11853050,23.0,23.47,19.31
2020-03-12,22.3,11305350,22.9,24.28,21.9
2020-03-11,23.61,14825430,22.54,25.7491,22.5235
2020-03-10,22.34,13019520,25.71,25.94,21.28
2020-03-09,24.29,14124080,30.0,30.0,24.16
2020-03-06,29.61,21097490,27.98,29.8,27.67
2020-03-05,28.01,14669980,27.49,28.95,26.535
2020-03-04,27.49,11817670,27.99,28.72,26.8
2020-03-03,27.91,17599110,27.804000000000002,28.6,26.6
2020-03-02,29.88,33084030,27.0,30.75,25.21
2020-02-28,25.93,24425130,23.38,25.95,22.015
2020-02-27,26.16,68256340,35.88,36.0,23.05
2020-02-26,29.16,78016790,29.05,29.98,27.08
2020-02-25,23.76,65001880,22.15,26.55,20.51
2020-02-24,18.59,7605391,19.23,19.28,18.3
2020-02-21,18.23,3696712,18.47,18.55,17.91
2020-02-20,18.54,4562216,18.86,19.17,18.42
2020-02-19,18.92,3148012,19.09,19.24,18.725
2020-02-18,18.91,4129369,19.14,19.35,18.57
2020-02-14,19.0,5384464,19.27,19.29,18.85
2020-02-13,19.045,6837002,19.36,19.8,18.89
2020-02-12,19.01,19231790,19.64,19.67,18.5
2020-02-11,21.35,6188339,22.09,22.74,21.28
2020-02-10,23.65,9356771,23.5,23.95,22.3832
2020-02-07,23.24,10144170,19.79,23.39,19.79
2020-02-06,19.88,1929739,20.27,20.32,19.7
2020-02-05,20.05,2656824,20.99,21.2,19.67
2020-02-04,20.87,1824436,20.09,20.88,19.75
2020-02-03,20.38,3214618,20.66,21.06,19.7
2020-01-31,20.51,2833631,21.14,21.32,20.05
2020-01-30,20.99,3061810,21.05,21.74,20.8
2020-01-29,20.55,4675832,22.23,22.34,20.45
2020-01-28,22.36,5649269,23.5,23.5,21.8501
2020-01-27,22.74,10294740,22.1,23.12,21.12
2020-01-24,21.12,2947764,21.6,21.8793,20.9
2020-01-23,21.47,3663943,22.17,22.65,21.4
2020-01-22,21.97,10920660,22.08,23.2,21.7
2020-01-21,20.94,2089578,20.79,21.49,20.645
2020-01-17,20.62,3348525,21.5,21.5,20.55
2020-01-16,21.01,4928102,21.68,21.87,20.77
2020-01-15,20.24,2054963,19.94,20.58,19.94
2020-01-14,20.0,1782859,20.45,20.4979,19.55
2020-01-13,20.26,2207943,19.26,20.36,18.6
2020-01-10,19.14,4504819,21.0,21.0,19.05
2020-01-09,18.4,1531344,18.0,18.55,17.9
2020-01-08,17.98,1041551,17.99,18.08,17.76
2020-01-07,17.78,1461935,18.15,18.32,17.68
2020-01-06,18.13,1606505,18.7,18.74,18.01
2020-01-03,18.89,1750976,19.02,19.36,18.72
2020-01-02,19.23,1229434,19.57,19.81,18.88
2019-12-31,19.56,1112406,18.96,19.64,18.96
2019-12-30,19.05,1183298,19.54,19.94,18.94
2019-12-27,19.52,1046852,19.99,20.0,19.25
2019-12-26,19.86,750317,19.82,20.11,19.66
2019-12-24,19.75,488921,19.69,19.79,19.35
2019-12-23,19.7,1789840,19.79,19.85,19.34
2019-12-20,19.83,10931560,19.4,20.0,19.05
2019-12-19,19.41,2101681,18.58,19.67,18.5
2019-12-18,18.64,1277655,18.48,19.0,18.48
2019-12-17,18.44,1647786,18.54,18.7,18.31
2019-12-16,18.52,1785541,18.6,18.97,18.22
2019-12-13,18.62,1302439,18.47,18.72,18.32
2019-12-12,18.45,1313402,18.56,19.045,18.32
2019-12-11,18.65,1233120,19.03,19.11,18.53
2019-12-10,18.87,1619895,18.78,19.09,18.58
2019-12-09,18.78,2823956,19.07,19.3,18.67
2019-12-06,18.94,3537657,20.78,21.04,18.82
2019-12-05,20.64,1478421,21.49,21.5,20.57
2019-12-04,21.27,1980055,21.0,21.47,20.9325
2019-12-03,21.28,1795347,19.48,21.37,19.41
2019-12-02,19.76,1186785,20.3,20.54,19.6
2019-11-29,20.36,1186734,20.6,20.93,20.28
2019-11-27,20.37,1561222,20.28,20.7,19.99
2019-11-26,20.33,1549446,20.0,20.65,19.82
2019-11-25,20.0,1927782,20.9,21.0,19.95
2019-11-22,20.69,1443557,20.07,20.73,19.86
2019-11-21,20.2,1202497,19.98,20.32,19.69
2019-11-20,20.18,2316542,19.38,20.4,19.35
2019-11-19,19.36,1144750,19.27,19.87,19.0824
2019-11-18,19.45,923140,19.21,19.45,18.67
2019-11-15,19.37,1882089,18.39,19.43,18.35
2019-11-14,18.34,1532586,18.16,18.5,17.91
2019-11-13,18.25,2014902,18.0,18.5,17.71
2019-11-12,17.99,1978343,17.34,18.1,17.3025
2019-11-11,17.4,949933,17.33,17.52,17.2
2019-11-08,17.49,973669,17.25,17.5,17.11
2019-11-07,17.5,2043611,16.33,17.6084,16.2801
2019-11-06,16.13,1575549,16.83,17.49,16.05
2019-11-05,16.89,1742360,16.94,17.72,16.71
2019-11-04,16.8,1357932,15.9,16.8,15.83
2019-11-01,15.66,1603732,16.8,16.894000000000002,15.52
2019-10-31,16.75,1015552,17.03,17.15,16.49
2019-10-30,17.14,961150,16.95,17.24,16.52
2019-10-29,16.99,751727,16.96,17.155,16.66
2019-10-28,17.03,652386,17.01,17.15,16.8094
2019-10-25,17.01,737109,16.73,17.1,16.4301
2019-10-24,16.59,1112146,16.92,17.03,16.05
2019-10-23,16.9,1512239,16.16,17.01,16.09
2019-10-22,15.92,594156,15.56,16.09,15.55
2019-10-21,15.5,931443,14.9,15.59,14.66
2019-10-18,14.81,1596568,14.5,14.85,14.07
2019-10-17,14.54,1033914,14.23,14.72,14.15
2019-10-16,14.15,915084,14.27,14.32,14.02
2019-10-15,14.33,1157446,13.93,14.45,13.53
2019-10-14,13.93,960535,14.19,14.27,13.67
2019-10-11,14.055,941288,14.24,14.7,13.99
2019-10-10,14.16,1345771,14.13,14.41,13.87
2019-10-09,14.2,2386365,15.33,15.55,14.18
2019-10-08,15.31,1226190,15.36,15.48,15.01
2019-10-07,15.47,1373936,15.45,15.63,15.07
2019-10-04,15.51,1022019,15.05,15.57,14.89
2019-10-03,15.07,1464168,15.24,15.24,14.41
2019-10-02,14.86,1783307,14.78,15.01,14.42
2019-10-01,14.81,1544925,15.87,16.06,14.8
2019-09-30,15.92,1532173,15.79,16.27,15.67
2019-09-27,15.9,2309047,16.29,16.54,15.675
2019-09-26,16.34,4449091,17.41,17.51,16.1447
2019-09-25,17.18,3045069,17.71,17.71,17.1
2019-09-24,17.82,5213302,17.83,17.99,17.25
2019-09-23,17.83,4861272,18.24,18.48,17.56
2019-09-20,18.07,25237510,18.14,18.39,17.75
2019-09-19,17.9,5866926,17.71,18.42,17.617
2019-09-18,17.78,5834569,17.77,18.0,17.35
2019-09-17,17.66,5239640,17.46,17.95,17.19
2019-09-16,17.05,3053899,16.73,17.31,16.69
2019-09-13,16.71,3162383,16.45,17.04,16.06
2019-09-12,16.4,8290874,16.23,18.46,16.2
2019-09-11,15.92,3590692,17.34,17.59,15.89
2019-09-10,17.09,3077421,16.06,17.34,15.97
2019-09-09,16.03,2311752,15.98,16.23,15.36
2019-09-06,15.88,2042503,15.56,16.18,15.14
2019-09-05,15.53,1394529,15.65,16.13,15.02
2019-09-04,15.42,1555729,15.11,15.59,14.8
2019-09-03,14.88,2508895,16.1,16.5,14.35
2019-08-30,15.73,1601551,15.3,15.75,15.2
2019-08-29,15.18,1684181,14.91,15.2,14.61
2019-08-28,14.82,1451650,14.51,15.04,14.38
2019-08-27,14.51,2720189,15.17,15.5,14.12
2019-08-26,14.97,3153425,14.01,15.38,14.0
2019-08-23,13.88,1501049,14.08,14.36,13.83
2019-08-22,14.16,1023419,14.37,14.43,14.04
2019-08-21,14.29,1417709,14.25,14.41,13.76
2019-08-20,14.15,3367012,13.87,14.65,13.6
2019-08-19,13.4,1955457,13.25,13.5,13.02
2019-08-16,13.16,1105105,12.85,13.24,12.79
2019-08-15,12.67,1162846,12.72,12.95,12.47
2019-08-14,12.74,1362976,13.08,13.22,12.5
2019-08-13,13.3,558994,13.0,13.395,12.76
2019-08-12,13.02,780306,13.42,13.68,12.984000000000002
